Id,Date,Year,Month,Country,Country_code,State_or_UT,State_Code,District,Dist_Code,Place,lat_new,lon_new,Source,Region,cluster_label
IND_127,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Morigaon,MRG,,26.25,92.33,EMD,North East,1
IND_128,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Nagaon,NGN,,26.35,92.68,EMD,North East,1
IND_129,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Nalbari,NLB,,26.45,91.44,EMD,North East,1
IND_130,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Sivasagar,SVG,,26.98,94.64,EMD,North East,1
IND_131,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Sonitpur,SNP,,26.67,92.86,EMD,North East,1
IND_132,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Tinsukia,TSK,,27.49,95.35,EMD,North East,1
IND_133,"Wednesday, August 28, 2002",2002,8,India ,IN,Himachal Pradesh,HP,Lahaul & Spiti,LHS,,32.71,76.61,EMD,North,2
IND_134,"Wednesday, August 28, 2002",2002,8,India,IN,Madhya Pradesh,MP,Balaghat,BGT,,21.82,80.19,EMD,Central,2
IND_135,"Wednesday, August 28, 2002",2002,8,India,IN,Uttarakhand,UT,Tehri Garhwal,TGH,,30.45,78.36,EMD,North,2
IND_136,"Wednesday, August 28, 2002",2002,8,India,IN,Telangana,TG,Khammam,KMM,,17.25,80.15,EMD,South,0
IND_137,"Wednesday, August 28, 2002",2002,8,India,IN,Telangana,TG,Adilabad,ALD,,19.66,78.5,EMD,South,0
IND_138,"Wednesday, August 28, 2002",2002,8,India,IN,Telangana,TG,Karimnagar,KMN,,18.44,79.13,EMD,South,0
IND_139,"Wednesday, August 28, 2002",2002,8,India,IN,West Bengal,WB,Cooch Behar,CBR,,26.35,89.45,EMD,East,1
IND_140,"Wednesday, August 28, 2002",2002,8,India,IN,West Bengal,WB,Jalpaiguri,JPG,,26.52,88.72,EMD,East,1
IND_141,"Wednesday, August 28, 2002",2002,8,India,IN,West Bengal,WB,Darjeeling,DJL,,27.03,88.22,EMD,East,1
IND_142,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Araria,ARR,,26.14,87.45,EMD,East,2
IND_143,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Begusarai,BGS,,25.42,86.11,EMD,East,2
IND_144,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Bhagalpur,BGP,,25.19,86.74,EMD,East,2
IND_145,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Darbhanga,DBG,,26.16,85.91,EMD,East,2
IND_146,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Gopalganj,GPG,,26.48,84.43,EMD,East,2
IND_147,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Khagaria,KGR,,25.51,86.48,EMD,East,2
IND_148,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Katihar,KHR,,25.55,87.56,EMD,East,2
IND_149,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Kishanganj,KGJ,,26.09,87.93,EMD,East,1
IND_150,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Madhepura,MDP,,25.92,86.79,EMD,East,2
IND_151,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Madhubani,MDB,,26.35,86.03,EMD,East,2
IND_152,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Muzaffarpur,MZF,,26.12,85.38,EMD,East,2
IND_153,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Nalanda,NLD,,25.2,85.27,EMD,East,2
IND_154,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,West Champaran,WCP,,27.08,83.76,EMD,East,2
IND_155,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Patna,PTA,,25.61,85.06,EMD,East,2
IND_156,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,East Champaran (Motihari),ECM,,26.63,84.98,EMD,East,2
IND_157,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Purnea,PNA,,25.77,87.45,EMD,East,2
IND_158,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Saharsa,SHS,,25.89,86.62,EMD,East,2
IND_159,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Samastipur,SMT,,25.85,85.78,EMD,East,2
IND_160,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Saran,SRN,,26.05,84.62,EMD,East,2
IND_161,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Sheikhpura,SKP,,25.14,85.85,EMD,East,2
IND_162,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Sheohar,SHR,,26.51,85.29,EMD,East,2
IND_163,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Sitamarhi,SMH,,26.58,85.46,EMD,East,2
